titolo,categoria,ingredienti
Crepe ai gamberetti,PRIMI PIATTI,"['Farina 00 80 g', 'Uova 1', 'Latte intero 170 ml', 'Burro 40 g', 'Sale fino 1 pizzico', 'Gamberi sgusciati 500 g', 'Mascarpone 300 g', 'Brandy 35 g', 'Aglio 1 spicchio', 'Burro 40 g', 'Olio extravergine di oliva 2 cucchiai', 'Erba cipollina tritata 2 cucchiai', 'Paprika 2 g', 'Sale fino q.b.', 'Pepe nero q.b.']"
Salmone al curry e latte di cocco,SECONDI PIATTI,"[""Filetto di salmone (4 pezzi da 200 g l'uno) 800 g"", 'Latte di cocco 250 g', 'Pasta di curry rosso q.b.', 'Broccoletti 200 g', 'Cipolle bianche 1', 'Aglio 2 spicchi', 'Lime (succo e scorza) 1', 'Olio extravergine di oliva 2 cucchiai', 'Sale fino q.b.', 'Pepe nero q.b.', 'Prezzemolo q.b.', 'Yogurt bianco naturale 1 cucchiaio']"
Zuppa autunnale,PRIMI PIATTI,"['Zucca pulita 840 g', 'Fagioli borlotti 500 g', 'Porri 80 g', 'Cavolo nero 100 g', 'Brodo vegetale 2 l', 'Rosmarino 2 rametti', 'Alloro qualche foglia', 'Olio extravergine di oliva 40 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Pane 8 fette', 'Olio extravergine di oliva q.b.', 'Rosmarino q.b.', 'Gherigli di noci 50 g', 'Sale fino q.b.']"
"Spaghetti al pomodoro fresco, basilico e stracciatella",PRIMI PIATTI,"['Spaghetti 320 g', 'Pomodorini ciliegino 500 g', 'Basilico 100 g', 'Stracciatella 100 g', 'Olio di semi di mais 180 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Vitello tonnato con maionese,ANTIPASTI,"['Vitello (magatello o girello) 1 kg', ""Tonno sott'olio (rosso di Sicilia) 160 g"", ""Acciughe sott'olio (Catabrico) 7"", 'Capperi sotto sale (di Pantelleria) 2 cucchiaini', 'Worcestershire sauce 1 cucchiaino', 'Tuorli (medi) 2', 'Olio di semi 250 g', 'Aceto di vino bianco 2 cucchiai', 'Succo di limone 1 cucchiaio', 'Senape (raso) 1 cucchiaio', 'Sale fino q.b.']"
Tigelle crudo e crescenza,PIATTI UNICI,"['Farina 0 250 g', 'Farina 00 500 g', 'Latte intero 300 g', 'Acqua 200 g', 'Strutto 60 g', 'Olio extravergine di oliva 50 g', 'Lievito di birra secco (o fresco 11 g) 3 g', 'Sale fino 1 cucchiaino', 'Crescenza 300 g', 'Prosciutto crudo 200 g']"
Pancake salati con bacon e crème fraîche,ANTIPASTI,"['Burro fuso 25 g', 'Latte intero 250 g', 'Farina 00 125 g', 'Parmigiano Reggiano DOP da grattugiare 50 g', 'Uova 2', 'Lievito istantaneo per preparazioni salate 6 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Bacon (15 fette) 150 g', 'Panna acida 50 g', 'Erba cipollina q.b.', 'Avocado 1']"
Ananas alla piastra con miele e cannella,DOLCI,"['Ananas 1', 'Miele millefiori 4 cucchiaini', 'Cannella in polvere q.b.', 'Zucchero di canna 4 cucchiaini', 'Menta q.b.', 'Burro fuso q.b.']"
Arancini di riso al pistacchio,ANTIPASTI,"['Riso Carnaroli 300 g', 'Scalogno 50 g', 'Olio extravergine di oliva 30 g', 'Vino bianco 50 g', 'Brodo vegetale 800 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Zafferano 1 bustina', 'Grana Padano DOP 65 g', 'Burro 15 g', 'Farina 00 15 g', 'Latte intero 150 g', 'Sale fino q.b.', 'Noce moscata da grattugiare q.b.', 'Granella di pistacchi 30 g', 'Caciocavallo 55 g', 'Farina 00 130 g', 'Acqua 195 g', 'Sale fino q.b.', 'Pangrattato 150 g', 'Olio di semi di arachide 800 g', 'Farina di pistacchi 10 g']"
Sformatini di riso ripieni,PRIMI PIATTI,"['Riso Carnaroli 280 g', 'Vino bianco 50 g', 'Zafferano (1 bustina) 0,15 g', 'Brodo vegetale 600 g', 'Fontina 80 g', 'Scalogno 60 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Salsiccia 200 g', 'Vino bianco 50 g', 'Finocchietto selvatico q.b.', 'Olio extravergine di oliva 30 g', 'Aglio 1 spicchio', 'Sale fino q.b.', 'Pepe nero q.b.', 'Burro 10 g', 'Grana Padano DOP grattugiato 20 g', 'Olio extravergine di oliva 10 g']"
Gyoza vegetariani,ANTIPASTI,"['Farina 00 200 g', 'Acqua calda 90 g', 'Sale fino q.b.', 'Tofu 100 g', 'Cavolo cappuccio 100 g', 'Funghi orecchioni o ostrica (Pleurotus) medi 2', 'Funghi shiitake piccoli 3', 'Carote medie 2', 'Cipollotto fresco piccolo 1', 'Aglio 2 spicchi', 'Zenzero fresco 60 g', 'Salsa di soia 40 g', 'Olio di sesamo 10 g', 'Salsa sriracha 6 g', 'Olio di semi di girasole q.b.', 'Olio di semi di girasole q.b.', 'Acqua 200 g', 'Olio di sesamo 10 g', 'Salsa di soia 50 g', 'Aceto di riso 50 g']"
Chifeletti,PRIMI PIATTI,"['Patate 500 g', 'Farina 00 150 g', 'Burro 40 g', 'Uova 1', 'Zucchero 5 g', 'Sale fino 5 g', 'Pepe nero q.b.', 'Olio extravergine di oliva 700 g']"
Torta di pane salata,TORTE SALATE,"['Pane raffermo 250 g', 'Scarola riccia 150 g', 'Pomodori ramati 3', 'Mozzarella 250 g', 'Pangrattato 200 g', 'Panna fresca liquida 400 g', 'Grana Padano DOP da grattugiare 150 g', 'Uova 1', 'Scorza di limone 1', 'Semi di finocchio 1 cucchiaino', 'Olio extravergine di oliva 20 g', 'Sale fino q.b.', 'Pepe nero q.b.']"
Harissa,SALSE E SUGHI,"['Peperoncino fresco rossi piccanti 250 g', 'Aglio 4 spicchi', 'Coriandolo fresco in foglie 1 cucchiaio', 'Coriandolo in polvere 1 cucchiaio', 'Menta essiccata 1 cucchiaio', 'Olio extravergine di oliva q.b.', 'Sale fino 1 cucchiaio', 'Carvi semi 1 cucchiaio']"
Ragù di seitan,SALSE E SUGHI,"['Seitan fresco biologico 1 kg', 'Carote 50 g', 'Sedano 60 g', 'Cipolle rosse 60 g', 'Olio extravergine di oliva 20 g', 'Passata di pomodoro 400 g', 'Vino bianco secco 150 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Concentrato di pomodoro 10 g']"
Minestra di pomodoro,PRIMI PIATTI,"['Filini 250 g', 'Pomodori pizzutelli 300 g', 'Cipollotti rossi di Tropea 80 g', 'Origano fresco q.b.', 'Basilico q.b.', 'Olio extravergine di oliva 2 cucchiai', 'Sale fino q.b.', 'Pepe nero q.b.', 'Acqua 750 g']"
Cantucci con farina di castagne alle mandorle e cioccolato,DOLCI,"['Farina di castagne 200 g', 'Farina 0 100 g', 'Uova medie 2', 'Zucchero 120 g', 'Mandorle 100 g', 'Gocce di cioccolato fondente 100 g', 'Burro fuso 30 g', ""Scorza d'arancia 1"", 'Lievito in polvere per dolci 1 cucchiaino']"
Vincisgrassi,PRIMI PIATTI,"[""Lasagne all'uovo 500 g"", 'Frattaglie di pollo 350 g', 'Cipolle 1', 'Carote 1', 'Sedano 1 costa', 'Passata di pomodoro 300 g', 'Parmigiano Reggiano DOP da grattugiare 100 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva q.b.', 'Maiale polpa 200 g', 'Manzo polpa 200 g', 'Pancetta 100 g', 'Brodo di carne 200 ml']"
Conchiglie dolci di sfoglia,DOLCI,"['Pasta Sfoglia rettangolare 1 foglio', 'Burro (da fondere) 25 g', 'Zucchero 100 g', 'Ricotta vaccina 200 g', 'Zucchero 80 g', 'Arancia candita 60 g', 'Uva sultanina 30 g', 'Latte intero 200 ml', 'Tuorli 2', 'Zucchero 40 g', 'Farina 00 25 g']"
Spaghetti ai ricci di mare,PRIMI PIATTI,"['Spaghetti 320 g', 'Ricci di mare 1 kg', 'Zucchine 300 g', 'Vino bianco 60 g', 'Olio extravergine di oliva 30 g', 'Aglio 1 spicchio', 'Sale fino q.b.', 'Pepe nero q.b.']"
Pasta primavera,PRIMI PIATTI,"['Linguine 320 g', 'Taccole (o piattoni) 200 g', 'Pisellini 100 g', 'Cipollotto fresco 60 g', 'Peperoncino fresco 1', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Topinambur 300 g', 'Acqua 100 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Menta (facoltativa) q.b.', 'Topinambur q.b.', 'Menta q.b.', 'Olio extravergine di oliva q.b.']"
Polpette di patate e gorgonzola,ANTIPASTI,"['Patate 750 g', 'Gorgonzola dolce 150 g', 'Uova 1', 'Pangrattato 40 g', 'Parmigiano Reggiano DOP da grattugiare 30 g', 'Sale fino q.b.', 'Pangrattato 150 g', 'Farina 00 50 g', 'Uova 3', 'Sale fino q.b.', 'Olio di semi di arachide 1 l']"
Crescentine (o tigelle) con la cunza,PIATTI UNICI,"['Farina 0 250 g', 'Farina 00 500 g', 'Latte intero 300 g', 'Acqua 200 g', 'Strutto 60 g', 'Lievito di birra secco (o 11 g se fresco) 3 g', 'Olio extravergine di oliva 50 g', 'Sale fino 1 cucchiaino', 'Lardo 200 g', 'Rosmarino 2 rametti', 'Aglio 1 spicchio', 'Sale fino 1 pizzico', 'Pepe nero q.b.']"
Ciambellone all'acqua al cacao,DOLCI,"['Farina 00 250 g', 'Cacao amaro in polvere 50 g', 'Zucchero 220 g', 'Olio di semi di girasole 120 ml', 'Acqua (a temperatura ambiente) 130 ml', 'Uova (medie) 3', 'Lievito in polvere per dolci 16 g', 'Arance 1']"
Minestra maritata,PRIMI PIATTI,"['Sale fino q.b.', 'Pepe nero q.b.', 'Cotenna di suino 450', 'Salsiccia 300 g', 'Costine di maiale 600 g', 'Maiale piedino 500 g', 'Sedano 1 costa', 'Cipolle 1', 'Carote 1', 'Parmigiano Reggiano DOP da grattugiare q.b.', 'Olio extravergine di oliva q.b.', 'Cavolo nero 600 g', 'Scarola 600 g', 'Cicoria 500 g', 'Bietole 500 g']"
Spaghetti alle acciughe,PRIMI PIATTI,"['Spaghetti 400 g', ""Acciughe sott'olio (peso sgocciolato) 30 g"", 'Concentrato di pomodoro 35 g', 'Pinoli 30 g', 'Aglio 1 spicchio', 'Peperoncino fresco 1', 'Prezzemolo 1 ciuffo', 'Olio extravergine di oliva q.b.']"
Penne alla Maitó,PRIMI PIATTI,"['Penne lisce 360 g', 'Passata di pomodoro 800 g', 'Parmigiano Reggiano DOP (24 mesi di stagionatura) 240 g', 'Burro (di Normandia, freddissimo) 240 g', 'Basilico (fresco) 20 g', 'Sale fino q.b.', 'Pepe nero q.b.']"
Petto di pollo al forno con scamorza,SECONDI PIATTI,"['Petto di pollo intero 800 g', 'Scamorza affumicata 80 g', 'Pomodorini datterini 450 g', 'Pane grattugiato 30 g', 'Salvia 4 foglie', 'Rosmarino 2 rametti', 'Timo 3 rametti', ""Succo d'arancia 1"", 'Olio extravergine di oliva 30 g', 'Sale fino 5 g', 'Pepe nero q.b.', 'Origano fresco q.b.']"
Bombette di pollo cacio e pepe,SECONDI PIATTI,"['Petto di pollo (12 fettine sottili) 300 g', 'Pecorino grattugiato 80 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Origano secco q.b.', 'Taralli cacio e pepe 80 g', 'Olio extravergine di oliva q.b.', 'Pecorino grattugiato 80 g', 'Pepe nero (da grattugiare al momento) q.b.', 'Acqua tiepida 120 g']"
Tagliatelle piselli e ricotta,PRIMI PIATTI,"[""Tagliatelle all'uovo 300 g"", 'Pisellini 200 g', 'Ricotta di bufala 100 g', ""Pomodori secchi sott'olio 40 g"", 'Brodo vegetale 200 g', 'Aglio 1 spicchio', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Timo q.b.']"
Ciabatta non impastata,LIEVITATI,"['Lievito di birra secco 1 g', 'Acqua 450 g', 'Sale fino 15 g', 'Farina 00 600 g', 'Malto ( o zucchero) 1 cucchiaino', 'Farina di mais q.b.', 'Olio extravergine di oliva q.b.']"
Sticky toffee pudding,DOLCI,"['Datteri denocciolati 250 g', 'Zucchero muscovado 250 g', 'Burro a temperatura ambiente 240 g', 'Farina 00 225 g', 'Melassa 100 g', 'Acqua 100 g', 'Uova medie 3', 'Lievito in polvere per dolci 4 g', 'Panna fresca liquida 200 g', 'Melassa 120 g', 'Burro a temperatura ambiente 50 g', 'Zucchero muscovado 20 g', 'Burro q.b.']"
"Fusilloni con salsiccia, datterini gialli e provolone",PRIMI PIATTI,"['Fusilloni 320 g', 'Salsiccia 400 g', 'Pomodorini datterini gialli 350 g', 'Provolone 120 g', 'Vino bianco 60 g', 'Scalogno 1', 'Sale fino q.b.', 'Pepe nero q.b.', 'Timo 4 rametti', 'Olio extravergine di oliva q.b.']"
Arrosto di maiale con mele,SECONDI PIATTI,"['Arista 800 g', 'Mele Fuji 2', 'Scalogno 3', 'Maggiorana q.b.', 'Parmigiano Reggiano DOP 40 g', 'Pangrattato 40 g', 'Vino bianco secco 130 g', 'Senape di Digione 35', 'Olio extravergine di oliva q.b.', 'Amido di mais (maizena) ½ cucchiaino', 'Sale fino q.b.', 'Pepe nero q.b.']"
Salsa rossa (salsa rubra),SALSE E SUGHI,"['Pomodori ramati 8', 'Aglio 2 spicchi', 'Cipolle 1', 'Carote 1', 'Sedano 1 costa', 'Basilico q.b.', 'Peperoni rossi ½', 'Peperoncino in polvere q.b.', 'Aceto di vino rosso q.b.', 'Zucchero 1 cucchiaino', 'Olio extravergine di oliva 6 cucchiai', 'Sale fino q.b.']"
Chips di mele,DOLCI,"['Mele Red Delicious 500 g', 'Zucchero 150 g', 'Acqua 200 g', 'Succo di limone 1']"
Panini con lievito madre,LIEVITATI,"['Farina Manitoba 500 g', 'Acqua (fredda o temperatura ambiente) 250 g', 'Lievito madre liquido (rinfrescato da almeno 4 ore) 100 g', 'Sale fino 10 g']"
"Sfogliata con cotto, ricotta e verdure",ANTIPASTI,"['Pasta Sfoglia (2 rotoli rettangolari) 460 g', 'Prosciutto cotto 630 g', 'Fagiolini 200 g', 'Carote 160 g', 'Pisellini 160 g', 'Pecorino da grattugiare 50 g', 'Ricotta vaccina 500 g', 'Timo 3 rametti', 'Erba cipollina q.b.', 'Sale fino 1 pizzico', 'Olio extravergine di oliva 10 g', 'Uova 1']"
Key lime cheesecake,DOLCI,"['Biscotti Digestive 250 g', 'Burro 100 g', 'Zucchero di canna 20 g', 'Formaggio fresco spalmabile 500 g', 'Latte condensato 350 g', 'Succo di lime 120 ml', 'Scorza di lime 2', 'Tuorli medi 4', 'Panna fresca liquida 250 ml', 'Zucchero a velo 15 g']"
Mousse ai mirtilli con Pavesini,DOLCI,"['Pavesini (4 monopack) 100 g', 'Mirtilli 300 g', 'Panna fresca liquida 250 g', 'Zucchero 100 g', 'Agar agar 1 cucchiaino', 'Scorza di limone 1', 'Mirtilli q.b.', 'Scorza di limone q.b.']"
Finocchi gratinati alle mandorle,CONTORNI,"['Finocchi 1 kg', 'Provola 150 g', 'Pangrattato 50 g', 'Mandorle in scaglie 20 g', 'Prezzemolo q.b.', 'Rosmarino q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Ciambella banane e arachidi,DOLCI,"['Banane (la polpa matura di 2 banane) 240 g', 'Arachidi tostate e non salate 35 g', 'Farina 00 100 g', 'Farina di riso 100 g', 'Zucchero di canna 110 g', 'Uova (circa 2 a temperatura ambiente) 110 g', 'Latticello a temperatura ambiente 170 g', 'Lievito in polvere per dolci 10 g', 'Semi di chia 10 g', 'Sale fino 1 cucchiaino', 'Cioccolato fondente 70 g', 'Zucchero di canna 70 g', 'Arachidi tostate e non salate 10 g', 'Acqua 140 g']"
Torta di more e yogurt,DOLCI,"['Farina 00 200 g', 'More 250 g', 'Yogurt greco 150 g', 'Zucchero 150 g', 'Uova (circa 2 medie) 100 g', 'Olio di semi di girasole 50 g', 'Lievito in polvere per dolci 16 g', 'Sale fino 1 pizzico', 'Olio di semi di girasole q.b.', 'Farina 00 q.b.', 'Zucchero a velo q.b.']"
Uova alla carrettiera,SECONDI PIATTI,"['Uova 4', 'Pangrattato 15 g', 'Pecorino romano 15 g', 'Aglio piccolo 1 spicchio', 'Prezzemolo q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva q.b.']"
Melanzane ripiene di spaghetti alla norma,PRIMI PIATTI,"['Spaghetti 320 g', 'Melanzane tonde 4', 'Pomodori pelati 500 g', 'Ricotta salata 200 g', 'Aglio 2 spicchi', 'Basilico 12 foglie', 'Sale fino q.b.', 'Olio extravergine di oliva q.b.']"
Cordon bleu di polenta,SECONDI PIATTI,"['Farina istantanea per polenta 185 g', 'Acqua 750 g', 'Sale grosso q.b.', 'Olio extravergine di oliva 10 g', 'Edamer 150 g', 'Prosciutto cotto 180 g', 'Uova 3', 'Pangrattato 200 g', 'Olio di semi di arachide 700 g']"
Ganache al cioccolato bianco,DOLCI,"['Cioccolato bianco 35% 650 g', 'Panna fresca liquida 250 g', 'Burro ammorbidito a temperatura ambiente 70 g']"
Crostata di pomodori,TORTE SALATE,"['Burro freddissimo 100 g', 'Farina 00 200 g', 'Acqua freddissima 60 g', 'Sale fino 1 pizzico', 'Origano 1 cucchiaino', 'Ricotta vaccina 500 g', 'Latte intero 80 g', 'Uova (circa 1 medio) 55 g', 'Sale fino 1 pizzico', 'Pepe nero q.b.', 'Pomodori misti tra datterini, dorati, ciliegini, marinda 350 g', 'Rucola q.b.']"
Torta di mele e more senza glutine,DOLCI,"['Farina di mandorle 110 g', 'Farina di riso 50 g', 'Uova (1 medio) 60 g', 'Miele millefiori 80 g', 'Latte intero 70 g', 'Lievito in polvere per dolci (senza glutine) 5 g', 'Mele Golden (1 media) 260 g', 'More 100 g', 'Zucchero di canna 50 g', 'Zucchero a velo per spolverizzare q.b.']"
Spiedini di pomodorini e mozzarelline,ANTIPASTI,"['Mozzarella (bocconcini piccoli) 12', 'Basilico 18 foglie', 'Pomodorini ciliegino 18', 'Olio extravergine di oliva 100 ml', 'Origano secco 1 cucchiaio', 'Basilico 10 foglie', 'Olio extravergine di oliva 50 g', 'Pinoli 1 cucchiaio', 'Sale fino 1 pizzico']"
Tofu fritto,ANTIPASTI,"['Tofu 300 g', 'Salsa di soia 50 g', 'Rosmarino q.b.', 'Salvia q.b.', 'Farina 00 200 g', 'Acqua 300 g', 'Sale fino ½ cucchiaino', 'Pangrattato 100 g', 'Rosmarino da tritare 1 cucchiaino', 'Sale fino 1 cucchiaino', 'Olio di semi q.b.']"
Cocotte di quinoa,PRIMI PIATTI,"['Quinoa 200 g', 'Pomodori pelati 200 g', 'Mozzarella 200 g', 'Parmigiano Reggiano DOP 80 g', 'Basilico 5 foglie', 'Olio extravergine di oliva 30 g', 'Sale fino q.b.']"
Torta al cacao con crema di zabaione,DOLCI,"['Uova (a temperatura ambiente) 4', 'Zucchero 140 g', 'Cacao zuccherato in polvere 50 g', 'Farina 00 120 g', 'Lievito in polvere per dolci 10 g', 'Marsala 200 g', 'Tuorli 6', 'Zucchero 160 g', 'Farina 00 30 g', 'Gelatina in fogli 5 g', 'Panna fresca liquida 600 g', 'Cioccolato fondente 20 g', 'Panna fresca liquida 40 g', 'Cioccolato fondente al 70% sfoglie 15', 'Tartufi di cioccolato al latte 11']"
Spaghetti all'arancia con acciughe,PRIMI PIATTI,"['Spaghetti 360 g', 'Arance 600 g', ""Acciughe sott'olio 40 g"", 'Pangrattato 30 g', 'Menta 5 foglie', 'Olio extravergine di oliva 40 g', 'Cointreau 40 g', 'Aglio 1 spicchio']"
Crocchette zucchine e speck,ANTIPASTI,"['Zucchine 450 g', 'Robiola 200 g', 'Speck (pezzo intero) 150 g', 'Pangrattato 80 g', 'Parmigiano Reggiano DOP da grattugiare 40 g', 'Prezzemolo 1 ciuffo', 'Sale fino 1 cucchiaino', 'Pangrattato q.b.', 'Olio extravergine di oliva q.b.']"
Pasta ai 4 formaggi e speck,PRIMI PIATTI,"['Speck in una fetta unica 100 g', 'Fusilli 400 g', 'Gorgonzola dolce 80 g', 'Taleggio 80 g', 'Parmigiano Reggiano DOP da grattugiare 100 g', 'Groviera da grattugiare 100 g', 'Latte intero 150 g', 'Panna fresca liquida 50 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.']"
Fragole caramellate,DOLCI,"['Fragole q.b.', 'Zucchero 100 g', 'Acqua 50 ml', 'Ghiaccio q.b.']"
Pesto di pomodori arrostiti,SALSE E SUGHI,"['Pomodorini datterini 500 g', 'Olio extravergine di oliva 80', 'Parmigiano Reggiano DOP 60 g', 'Pinoli 30 g', 'Aglio ½', 'Basilico grandi 10 foglie', 'Sale fino q.b.', 'Origano q.b.', 'Zucchero 1 cucchiaino']"
Orecchiette allo yogurt con zucchine,PRIMI PIATTI,"['Orecchiette 320 g', 'Yogurt greco 200 ml', 'Zucchine 400 g', 'Porri 150 g', 'Pisellini 150 g', 'Olio extravergine di oliva 7 cucchiai', 'Aglio 1 spicchio', 'Basilico tritato 1 cucchiaio', 'Prezzemolo tritato 2 cucchiai', 'Sale fino q.b.', 'Pepe nero q.b.', 'Brodo vegetale q.b.']"
Crostata con crema di castagne,DOLCI,"['Farina 00 300 g', 'Burro 150 g', 'Zucchero a velo 130 g', 'Tuorli 2', 'Castagne 800 g', 'Acqua 260 g', 'Zucchero 240 g', 'Baccello di vaniglia 1', 'Scorza di limone non trattato ½', 'Uova 1', 'Burro q.b.', 'Farina 00 q.b.']"
Olive in salamoia,MARMELLATE E CONSERVE,"['Olive verdi fresche 500 g', 'Acqua 500 g', 'Sale fino 50 g', 'Aglio 2 spicchi', 'Rosmarino 2 rametti', 'Timo q.b.']"
Bugie ripiene di Carnevale,DOLCI,"['Farina 00 500 g', 'Burro morbido ma ancora plastico 50 g', 'Zucchero 70 g', 'Uova 3', 'Tuorli 1', 'Grappa 30 g', 'Lievito in polvere per dolci 6 g', 'Estratto di vaniglia q.b.', 'Sale 1 pizzico', 'Acqua (al bisogno) 10 g', 'Nutella 150 g', 'Confettura di fragole 150 g', 'Olio di semi di arachide 1 l', 'Zucchero a velo 100 g']"
Crostata morbida con crema,DOLCI,"['Burro freddo 250 g', 'Farina 00 300 g', 'Zucchero di canna 180 g', 'Farina di mandorle 125 g', 'Uova circa 2 100 g', 'Lievito in polvere per dolci 1,5 g', 'Sale fino ½ cucchiaino', 'Scorza di limone ½', 'Latte intero 500 g', 'Zucchero di canna 100 g', 'Tuorli 45 g', 'Amido di mais (maizena) 50 g', 'Burro 25 g', 'Rum bianco 40 g', 'Zucchero di canna q.b.', 'Mandorle in scaglie q.b.']"
Torta salata tricolore,ANTIPASTI,"['Burro freddo 150 g', 'Farina 00 250 g', 'Spinaci freschi 150 g', 'Uova medio 1', 'Sale fino 2 pizzichi', 'Patate 600 g', 'Pomodorini ciliegino 300 g', 'Pisellini sgranati 230 g', 'Zucchine 530 g', 'Panna fresca liquida 250 g', 'Uova medie 3', 'Cipollotto fresco (circa 1) 60 g', 'Aglio 2 spicchi', 'Erba cipollina 3 fili', 'Olio extravergine di oliva 40 g', 'Origano 1 pizzico', 'Noce moscata 1 pizzico', 'Sale fino q.b.', 'Pepe nero q.b.']"
Crostata salata di polenta,PIATTI UNICI,"['Farina di mais bramata 200 g', 'Acqua 800 ml', 'Parmigiano Reggiano DOP da grattugiare q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Funghi porcini 250 g', 'Funghi champignon 250 g', 'Luganega 450 g', 'Vino bianco secco 50 g', 'Burro 40 g', 'Aglio 1 spicchio', 'Timo 3 rametti', 'Rosmarino 3 rametti', 'Noce moscata q.b.', 'Latte intero 400 ml', 'Burro 40 g', 'Farina 00 40 g', 'Noce moscata q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Bocconotti,DOLCI,"['Farina 00 250 g', 'Burro freddo 100 g', 'Zucchero 100 g', 'Uova (circa 1 medio) a temperatura ambiente 60 g', 'Tuorli (circa 1 medio) a temperatura ambiente 20 g', 'Lievito in polvere per dolci 1 cucchiaino', 'Cannella in polvere ¼ cucchiaino', 'Uva nera (sgranata) 500 g', 'Zucchero 150 g', 'Farina di mandorle 50 g', 'Cioccolato fondente 50 g', 'Burro q.b.']"
Bignè con crema di ricotta e pistacchi,DOLCI,"['Uova (circa 2 medie) 105 g', 'Farina 00 65 g', 'Burro 50 g', 'Acqua 100 g', 'Zucchero 10 g', 'Sale fino 1 pizzico', 'Ricotta vaccina 500 g', 'Zucchero a velo 120 g', 'Panna fresca liquida 100 g', 'Granella di pistacchi 80 g', 'Baccello di vaniglia 1', 'Cioccolato bianco 50 g', 'Granella di pistacchi 60 g']"
Frittura di gamberi con salsa al mango,ANTIPASTI,"['Gamberi (le code) 350 g', 'Panko 50 g', 'Corn flakes 50 g', 'Uova medie 3', 'Farina 00 100 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Scorza di lime 1', 'Erba cipollina q.b.', 'Mango (la polpa) 250 g', 'Olio extravergine di oliva 10 g', 'Zenzero fresco 10 g', 'Peperoncino fresco 1']"
Pasta con crema di verdure al forno,PRIMI PIATTI,"['Linguine 320 g', 'Zucca delica 200 g', 'Funghi champignon 125 g', 'Cavolfiore 250 g', 'Porri 1', 'Robiola 50 g', 'Concentrato di pomodoro 40 g', 'Nocciole 50 g', 'Timo q.b.', 'Sale fino q.b.', 'Paprika affumicata q.b.', 'Pepe nero q.b.']"
Minicharlotte di Pavesini con crema diplomatica e frutti di bosco,DOLCI,"['Pavesini 100 g', 'Latte intero 750 ml', 'Panna fresca liquida 375 ml', 'Zucchero 225 g', 'Farina 00 75 g', 'Zucchero a velo 30 g', 'Gelatina in fogli 15 g', 'Tuorli 9', 'Baccello di vaniglia 1', 'Gelatina in fogli 6 g', 'Lamponi 500 g', 'Zucchero 2 cucchiai', 'Pavesini 120 g', 'Menta 6 foglie', 'Frutti di bosco q.b.', 'Latte intero 200 ml']"
Paniscia alla novarese,PRIMI PIATTI,"['Riso Carnaroli 320 g', 'Verza 300 g', 'Fagioli borlotti secchi (già ammollati) 250 g', ""Salame d'la duja 190 g"", 'Scalogno 120 g', 'Cotenna di suino 75 g', 'Lardo 75 g', 'Vino rosso 100 g', 'Grana Padano DOP da grattugiare 70 g', 'Burro 50 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Vellutata di verza e patate,PRIMI PIATTI,"['Verza 400 g', 'Patate 350 g', 'Cipolle 2', 'Carote 1', 'Sedano 1 costa', 'Brodo vegetale 1,5 l', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Crostini di pane q.b.']"
